distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.1874968062780672,59,10,7,1,0,A3.1-A4.1
0.1874968062780672,59,10,7,1,0,A3.1-A4.1
0.037620398478109426,15,3,3,22,0,A5.2
0.09957794450556415,1,1,1,28,0,A5.2
0.09035155161090887,1,1,1,28,0,A5.2
0.037620398478109426,15,3,3,22,0,A5.2
0.10847578204353996,14,3,3,14,0,A3.1-A4.1
0.13284896185795306,38,12,7,1,1,A3.1-A4.1
0.1747308076268428,38,12,7,1,1,A3.1-A4.1
0.15464848785840934,25,18,5,4,0,A3.1-A4.1
0.019489589503643445,4,1,1,0,0,A3.1-A4.1
0.07570503520451745,50,8,4,1,1,A3.1-A4.1
0.1422618823113195,65,12,7,1,0,A3.1-A4.1
0.1422618823113195,65,12,7,1,0,A3.1-A4.1
0.07570503520451745,50,8,4,1,1,A3.1-A4.1
0.018242379594802304,6,0,0,0,0,A3.1-A4.1
0.0033934830571643003,1,0,0,0,0,A3.1-A4.1
0.011661985518339787,4,0,0,0,0,A3.1-A4.1
0.07286979084248633,35,1,5,0,0,A3.1-A4.1
0.006132635406628767,4,0,0,0,0,A3.1-A4.1
0.006132635406628767,4,0,0,0,0,A3.1-A4.1
0.09073746193714971,35,1,5,0,0,A3.1-A4.1
0.16083262353097866,24,14,10,1,0,A3.1-A4.1
0.12112981909656266,24,14,10,1,0,A3.1-A4.1
0.0878489873439031,24,14,10,1,0,A3.1-A4.1
0.04535408400494489,8,4,2,1,0,A3.1-A4.1
0.21178800613929227,48,21,5,2,0,A3.1-A4.1
0.2782895852541663,56,25,7,3,0,A3.1-A4.1
0.048340900934499546,7,6,2,0,0,A3.1-A4.1
0.1298420763761683,23,10,4,0,1,A3.1-A4.1
0.0667527455601666,11,5,3,0,1,A3.1-A4.1
0.0420207042876108,22,4,7,1,0,A3.1-A4.1
0.04069045952585383,12,1,1,0,0,A3.1-A4.1
0.08672731318210124,13,4,10,0,0,A3.1-A4.1
0.07549292267505718,23,2,6,1,0,A3.1-A4.1
0.1699060938491129,37,8,1,1,2,A3.1-A4.1
0.07549292267505718,23,2,6,1,0,A3.1-A4.1
0.04184521775701617,22,4,7,1,0,A3.1-A4.1
0.08084536423669379,23,2,6,1,0,A3.1-A4.1
0.09576392799189114,23,2,6,1,0,A3.1-A4.1
0.0329533083566418,7,3,1,0,0,A3.1-A4.1
0.006764890026035258,2,0,0,0,0,A3.1-A4.1
0.01230973571481396,9,3,1,0,0,A3.1-A4.1
0.01230973571481396,9,3,1,0,0,A3.1-A4.1
0.06056061016945495,15,2,1,1,1,A3.1-A4.1
0.024437476814230863,6,0,1,0,0,A3.1-A4.1
0.1368670148179709,43,6,14,2,2,A3.1-A4.1
0.08798310870619419,43,6,14,2,2,A3.1-A4.1
0.016674886646899898,4,2,0,0,0,A3.1-A4.1
0.07924931370676544,16,5,4,0,0,A3.1-A4.1
0.07687961304820971,16,5,4,0,0,A3.1-A4.1
0.14675562295067493,35,8,12,2,0,A3.1-A4.1
0.15869996121913268,35,8,12,2,0,A3.1-A4.1
0.1009916098092451,21,6,5,1,0,A3.1-A4.1
0.05208986457975438,10,5,2,1,0,A3.1-A4.1
0.11914969677334933,24,6,7,0,0,A3.1-A4.1
0.09024513613225948,17,2,9,0,0,A3.1-A4.1
0.04367659980486668,10,0,3,0,0,A3.1-A4.1
0.02120953215846855,1,2,3,0,1,A5.1
0.10565866294199858,33,3,16,1,0,A3.1-A4.1
0.13493061759330396,33,3,16,1,0,A3.1-A4.1
0.13176923031817778,39,6,6,0,1,A3.1-A4.1
0.14299977697763372,39,6,6,0,1,A3.1-A4.1
